Date,Region_Name,Area_Code,Average_Price_SA
1996-07-01,Wales,W92000004,42827.23576
1996-07-01,England,E92000001,53632.4548
1996-07-01,East of England,E12000006,55935.99108
1996-07-01,London,E12000007,76982.49396
1996-07-01,East Midlands,E12000004,45544.25342
1996-07-01,Yorkshire and The Humber,E12000003,44285.80929
1996-07-01,North West,E12000002,43397.57437
1996-07-01,South West,E12000009,55088.97117
1996-07-01,South East,E12000008,65991.23391
1996-07-01,North East,E12000001,41330.69048
1996-07-01,West Midlands Region,E12000005,49620.81029
1996-07-01,England and Wales,K04000001,53050.86725
1996-08-01,Wales,W92000004,42965.65675
1996-08-01,England,E92000001,53894.13897
1996-08-01,West Midlands Region,E12000005,49952.76554
1996-08-01,East Midlands,E12000004,45881.67626
1996-08-01,East of England,E12000006,56854.71555
1996-08-01,South West,E12000009,55147.87837
1996-08-01,North West,E12000002,43560.55124
1996-08-01,South East,E12000008,65986.30731
1996-08-01,North East,E12000001,41819.9552
1996-08-01,Yorkshire and The Humber,E12000003,44225.01795
1996-08-01,London,E12000007,77777.10851
1996-08-01,England and Wales,K04000001,53295.17919
1996-09-01,England,E92000001,54183.62971
1996-09-01,Wales,W92000004,42718.04215
1996-09-01,North East,E12000001,42008.83815
1996-09-01,North West,E12000002,43637.36529
1996-09-01,London,E12000007,78474.56769
1996-09-01,South East,E12000008,66441.01105
1996-09-01,Yorkshire and The Humber,E12000003,44183.01209
1996-09-01,East Midlands,E12000004,46079.45896
1996-09-01,East of England,E12000006,56769.93363
1996-09-01,South West,E12000009,55522.22028
1996-09-01,West Midlands Region,E12000005,50185.43994
1996-09-01,England and Wales,K04000001,53559.40251
1996-10-01,England,E92000001,54501.90517
1996-10-01,Wales,W92000004,43529.97583
1996-10-01,South West,E12000009,56096.21042
1996-10-01,West Midlands Region,E12000005,50542.79681
1996-10-01,North East,E12000001,41751.62167
1996-10-01,London,E12000007,79458.17428
1996-10-01,North West,E12000002,43921.03942
1996-10-01,East of England,E12000006,57361.41607
1996-10-01,Yorkshire and The Humber,E12000003,44381.92095
1996-10-01,East Midlands,E12000004,46168.76548
1996-10-01,South East,E12000008,66571.59808
1996-10-01,England and Wales,K04000001,53899.70903
1996-11-01,Wales,W92000004,43231.45349
1996-11-01,England,E92000001,54997.66648
1996-11-01,South East,E12000008,67542.69825
1996-11-01,North West,E12000002,43970.2677
1996-11-01,East Midlands,E12000004,46618.93672
1996-11-01,South West,E12000009,56488.04642
1996-11-01,North East,E12000001,42007.43266
1996-11-01,East of England,E12000006,58152.92685
1996-11-01,Yorkshire and The Humber,E12000003,45011.24552
1996-11-01,London,E12000007,80512.87726
1996-11-01,West Midlands Region,E12000005,51230.59805
1996-11-01,England and Wales,K04000001,54390.58038
1996-12-01,Wales,W92000004,43925.84911
1996-12-01,England,E92000001,55431.52759
1996-12-01,South West,E12000009,57147.16156
1996-12-01,South East,E12000008,68642.37192
1996-12-01,North West,E12000002,44171.29323
1996-12-01,East Midlands,E12000004,47124.68258
1996-12-01,East of England,E12000006,58671.58775
1996-12-01,North East,E12000001,41694.52865
1996-12-01,Yorkshire and The Humber,E12000003,44710.24857
1996-12-01,West Midlands Region,E12000005,51051.29236
1996-12-01,London,E12000007,81419.29822
1996-12-01,England and Wales,K04000001,54828.8062
1997-01-01,England,E92000001,56078.05962
1997-01-01,Wales,W92000004,43388.67096
1997-01-01,East of England,E12000006,59334.5684
1997-01-01,East Midlands,E12000004,46996.9187
1997-01-01,West Midlands Region,E12000005,51411.57213
1997-01-01,London,E12000007,82727.56394
1997-01-01,Yorkshire and The Humber,E12000003,44974.65484
1997-01-01,South East,E12000008,69533.02069
1997-01-01,North East,E12000001,42205.04282
1997-01-01,North West,E12000002,44368.99338
1997-01-01,South West,E12000009,57787.7995
1997-01-01,England and Wales,K04000001,55419.50744
1997-02-01,England,E92000001,56978.18117
1997-02-01,Wales,W92000004,45060.14004
1997-02-01,South East,E12000008,70667.32681
1997-02-01,North East,E12000001,42747.4311
1997-02-01,Yorkshire and The Humber,E12000003,44868.8295
1997-02-01,London,E12000007,84820.61491
1997-02-01,West Midlands Region,E12000005,51827.86607
